period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-03-10,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1271421,megawatthours
2026-03-10,FLA,Florida,DF,Day-ahead demand forecast,Eastern,Eastern,674937,megawatthours
2026-03-10,FMPP,Florida Municipal Power Pool,DF,Day-ahead demand forecast,Eastern,Eastern,38041,megawatthours
2026-03-10,FPC,"Duke Energy Florida, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,120193,megawatthours
2026-03-10,FPL,Florida Power & Light Co.,DF,Day-ahead demand forecast,Eastern,Eastern,396900,megawatthours
2026-03-10,GCPD,"Public Utility District No. 2 of Grant County, Washington",DF,Day-ahead demand forecast,Arizona,Arizona,17768,megawatthours
2026-03-10,GCPD,"Public Utility District No. 2 of Grant County, Washington",DF,Day-ahead demand forecast,Central,Central,17764,megawatthours
2026-03-10,GCPD,"Public Utility District No. 2 of Grant County, Washington",DF,Day-ahead demand forecast,Eastern,Eastern,17758,megawatthours
2026-03-10,GCPD,"Public Utility District No. 2 of Grant County, Washington",DF,Day-ahead demand forecast,Mountain,Mountain,17766,megawatthours
2026-03-10,GCPD,"Public Utility District No. 2 of Grant County, Washington",DF,Day-ahead demand forecast,Pacific,Pacific,17768,megawatthours
2026-03-10,GVL,Gainesville Regional Utilities,DF,Day-ahead demand forecast,Eastern,Eastern,5395,megawatthours
2026-03-10,HST,City of Homestead,DF,Day-ahead demand forecast,Eastern,Eastern,1809,megawatthours
2026-03-10,IID,Imperial Irrigation District,DF,Day-ahead demand forecast,Arizona,Arizona,7632,megawatthours
2026-03-10,IID,Imperial Irrigation District,DF,Day-ahead demand forecast,Central,Central,7610,megawatthours
2026-03-10,IID,Imperial Irrigation District,DF,Day-ahead demand forecast,Eastern,Eastern,7606,megawatthours
2026-03-10,IID,Imperial Irrigation District,DF,Day-ahead demand forecast,Mountain,Mountain,7616,megawatthours
2026-03-10,IID,Imperial Irrigation District,DF,Day-ahead demand forecast,Pacific,Pacific,7632,megawatthours
2026-03-10,IPCO,Idaho Power Company,DF,Day-ahead demand forecast,Arizona,Arizona,46442,megawatthours
2026-03-10,IPCO,Idaho Power Company,DF,Day-ahead demand forecast,Central,Central,46406,megawatthours
2026-03-10,IPCO,Idaho Power Company,DF,Day-ahead demand forecast,Eastern,Eastern,46383,megawatthours
2026-03-10,IPCO,Idaho Power Company,DF,Day-ahead demand forecast,Mountain,Mountain,46424,megawatthours
2026-03-10,IPCO,Idaho Power Company,DF,Day-ahead demand forecast,Pacific,Pacific,46442,megawatthours
2026-03-10,ISNE,ISO New England,DF,Day-ahead demand forecast,Eastern,Eastern,266220,megawatthours
2026-03-10,JEA,JEA,DF,Day-ahead demand forecast,Eastern,Eastern,38089,megawatthours
2026-03-10,LDWP,Los Angeles Department of Water and Power,DF,Day-ahead demand forecast,Arizona,Arizona,57450,megawatthours
2026-03-10,LDWP,Los Angeles Department of Water and Power,DF,Day-ahead demand forecast,Central,Central,57450,megawatthours
2026-03-10,LDWP,Los Angeles Department of Water and Power,DF,Day-ahead demand forecast,Eastern,Eastern,57450,megawatthours
2026-03-10,LDWP,Los Angeles Department of Water and Power,DF,Day-ahead demand forecast,Mountain,Mountain,57450,megawatthours
2026-03-10,LDWP,Los Angeles Department of Water and Power,DF,Day-ahead demand forecast,Pacific,Pacific,57450,megawatthours
